gene_symbol,n_samples,n_events,n_samples_tumor,n_samples_normal,n_as_gene1,n_as_gene2,n_high_confidence,n_medium_confidence,n_low_confidence,n_inframe,n_outofframe,n_frame_unknown,n_intergenic_flank,sites_observed,types_observed,max_split_reads_total,max_discordant_mates,median_coverage,samples,recurrence_tier,translatedmRNA.apvEff,translatedmRNA.apvRvmPAdj,totalmRNA.apvEff,totalmRNA.apvRvmPAdj,translation.apvEff,translation.apvRvmPAdj,buffering.apvEff,buffering.apvRvmPAdj,singleRegMode
SLC5A3,2,4,2,0,0,4,0,0,4,0,0,4,0,intron,"deletion/read-through,deletion/read-through/3'-3'",0,0,0,"SRR6939927.arriba,SRR6939935.arriba",tumor_exclusive,-1.066233308,0.009554052,-0.415940606,0.119880237,-1.299528701,0.011715295,-0.708657528,0.024129441,abundance
SMARCC2,2,4,2,0,3,1,0,0,4,0,0,4,0,"CDS,CDS/splice-site,intron","deletion/read-through/3'-3',deletion/read-through/5'-5'",1,0,2,"SRR6939935.arriba,SRR6939951.arriba",tumor_exclusive,0.317700156,0.327945559,-0.218696895,0.455750967,0.434902542,0.159458364,-0.397011222,0.145351545,translation
SUSD2,2,4,2,0,2,2,0,0,4,0,0,4,2,"CDS,intergenic",deletion/read-through,0,0,0,"SRR6939935.arriba,SRR6939943.arriba",tumor_exclusive,0.015968924,0.989182207,-1.722893869,0.101099691,1.488270691,0.011715295,-1.73982041,0.002523046,background
TRIM11,2,4,2,0,2,2,0,0,4,0,0,4,0,"5'UTR,exon,intron","deletion/read-through,deletion/read-through/5'-5'",1,0,0,"SRR6939927.arriba,SRR6939960.arriba",tumor_exclusive,1.399180213,0.025920304,0.170578652,0.585738529,1.316163736,0.053000589,0.015881522,0.969739631,translation
WDR11,2,4,2,0,0,4,0,0,4,0,0,4,1,"exon,intergenic","inversion,translocation,translocation/3'-3'",0,0,4,"SRR6939956.arriba,SRR6939960.arriba",tumor_exclusive,-0.274183632,0.342445553,0.265414241,0.366054541,-0.3809891,0.167203543,0.473598423,0.095357366,translation
ARL4D,2,3,2,0,2,1,0,0,3,0,0,3,3,intergenic,deletion/read-through,1,0,0,"SRR6939927.arriba,SRR6939956.arriba",tumor_exclusive,-1.047718494,0.130805771,-1.119904274,0.049217593,-0.023785315,0.972248182,-0.39169548,0.311878591,abundance
ATG4C,2,3,2,0,2,1,0,0,3,0,0,3,1,"intergenic,intron","deletion/read-through,translocation",0,0,0,"SRR6939939.arriba,SRR6939956.arriba",tumor_exclusive,-0.767620281,0.115652895,0.390913836,0.528392592,-0.880205697,0.083173445,0.888610255,0.166415055,translation
BRPF1,2,3,2,0,0,3,0,0,3,0,0,3,0,"CDS,intron",deletion/read-through,0,0,0,"SRR6939935.arriba,SRR6939951.arriba",tumor_exclusive,0.192288005,0.804114039,-0.008687354,0.97523449,0.201462929,0.812205614,-0.028848674,0.928091368,background
CALR,2,3,2,0,1,2,0,0,3,0,0,3,0,"3'UTR,CDS","deletion/read-through/3'-3',deletion/read-through/5'-5'",0,0,24,"SRR6939939.arriba,SRR6939956.arriba",tumor_exclusive,0.087901801,0.800693668,-0.113631356,0.707726289,0.165591165,0.562425298,-0.178493524,0.461940642,background
CAND1,2,3,2,0,1,2,0,0,3,0,0,3,0,"3'UTR,intron","deletion/read-through,deletion/read-through/3'-3'",0,0,0,"SRR6939951.arriba,SRR6939956.arriba",tumor_exclusive,-0.161296642,0.558192767,0.734755243,0.024946489,-0.215027981,0.461244572,0.777616126,0.022607625,buffering
CCDC50,2,3,2,0,1,2,0,0,3,0,0,3,2,"intergenic,intron","deletion/read-through,translocation/5'-5'",0,0,2,"SRR6939939.arriba,SRR6939960.arriba",tumor_exclusive,0.308524347,0.293355028,0.22284307,0.478282055,0.188105147,0.456284947,-0.129332315,0.61703634,background
CCNL1,2,3,2,0,0,3,0,0,3,0,0,3,2,"intergenic,intron","deletion/read-through,deletion/read-through/5'-5'",0,0,0,"SRR6939943.arriba,SRR6939951.arriba",tumor_exclusive,-0.279549512,0.40560578,-0.436971102,0.163515753,-0.212959783,0.558244733,-0.383798415,0.219579212,background
CEP78,2,3,2,0,3,0,0,0,3,0,0,3,2,"intergenic,intron","deletion/read-through,translocation",1,0,2,"SRR6939931.arriba,SRR6939960.arriba",tumor_exclusive,0.461022204,0.203741302,0.214206898,0.593192609,0.38973019,0.269923795,-0.055132833,0.898122944,background
CMTM6,2,3,2,0,3,0,0,0,3,0,0,3,1,"CDS,intergenic",deletion/read-through,0,0,2,"SRR6939935.arriba,SRR6939939.arriba",tumor_exclusive,-0.62685155,0.161299638,-0.158794685,0.677350256,-0.471130432,0.128335111,0.320598145,0.210344548,translation
CPSF6,2,3,2,0,1,2,0,0,3,0,0,3,0,"3'UTR,intron",deletion/read-through,1,0,1,"SRR6939935.arriba,SRR6939956.arriba",tumor_exclusive,0.643372951,0.063148995,0.60809617,0.068016743,0.287031704,0.358906152,0.08716393,0.801083652,abundance
CSRP1,2,3,2,0,3,0,0,0,3,0,0,3,0,"3'UTR,exon","deletion/read-through,translocation",0,0,29,"SRR6939927.arriba,SRR6939951.arriba",tumor_exclusive,-0.696726201,0.241768378,-0.898634149,0.037414413,0.446792455,0.202196032,-0.435650533,0.08474081,abundance
CXCL16,2,3,2,0,2,1,0,0,3,0,0,3,0,"3'UTR,CDS","deletion/read-through,deletion/read-through/5'-5'",0,0,76,"SRR6939935.arriba,SRR6939943.arriba",tumor_exclusive,-0.37260213,0.460309917,-1.103999616,0.049391254,0.342048935,0.36894409,-0.713032369,0.057598388,background
CYP4F2,2,3,2,0,0,3,0,0,3,0,0,3,0,intron,"translocation,translocation/3'-3'",0,0,2,"SRR6939931.arriba,SRR6939951.arriba",tumor_exclusive,-2.63977031,0.009449908,-2.458456606,0.012100835,-0.467131906,0.195688584,0.358512326,0.278379233,abundance
DAB2,2,3,2,0,0,3,0,0,3,0,0,3,2,"intergenic,intron",deletion/read-through,0,0,0,"SRR6939927.arriba,SRR6939951.arriba",tumor_exclusive,-0.286266774,0.494674149,-0.331675314,0.447183246,-0.056960157,0.86466557,-0.014336979,0.966401808,background
DHRS7,2,3,2,0,3,0,0,0,3,0,0,3,0,"5'UTR,intron","deletion/read-through,deletion/read-through/3'-3',deletion/read-through/5'-5'",0,0,0,"SRR6939935.arriba,SRR6939943.arriba",tumor_exclusive,0.274704589,0.527277671,0.6837283,0.108566827,-0.256564237,0.357859002,0.392911333,0.122096733,background
EIF2B5,2,3,2,0,1,2,0,0,3,0,0,3,0,exon,"deletion/read-through/3'-3',translocation/5'-5'",0,0,3,"SRR6939927.arriba,SRR6939939.arriba",tumor_exclusive,-0.306231992,0.301395785,0.033369825,0.92453079,-0.308464766,0.29487169,0.08051156,0.826135912,background
FBXO30,2,3,2,0,2,1,0,0,3,0,0,3,0,"CDS,intron","deletion/read-through,translocation/3'-3'",1,0,0,"SRR6939927.arriba,SRR6939956.arriba",tumor_exclusive,-0.25377193,0.541900881,0.551859293,0.165765215,-0.429740129,0.309583382,0.65952576,0.09379689,buffering
FRRS1,2,3,2,0,2,1,0,0,3,0,0,3,0,intron,"deletion/read-through/5'-5',duplication,translocation",0,0,0,"SRR6939951.arriba,SRR6939956.arriba",tumor_exclusive,-0.430526474,0.221958026,0.327553969,0.41880595,-0.616255483,0.044924651,0.847523114,0.013207399,translation
FXN,2,3,2,0,0,3,0,0,3,0,0,3,0,"3'UTR,intron","deletion/read-through,translocation",1,0,2,"SRR6939927.arriba,SRR6939960.arriba",tumor_exclusive,-0.335895713,0.481039936,-0.613570463,0.136554191,0.117184014,0.797268216,-0.374391293,0.242629202,background
GMPPA,2,3,2,0,2,1,0,0,3,0,0,3,0,"exon,intron","deletion/read-through,deletion/read-through/5'-5'",0,0,0,"SRR6939931.arriba,SRR6939956.arriba",tumor_exclusive,-0.1482685,0.698783299,0.131387387,0.629928693,-0.25306901,0.458914392,0.185654145,0.439800023,background
GZF1,2,3,2,0,3,0,0,0,3,0,0,3,0,"3'UTR,intron","deletion/read-through/5'-5',translocation/5'-5'",1,0,0,"SRR6939927.arriba,SRR6939964.arriba",tumor_exclusive,-0.052757527,0.898865618,0.281023406,0.369846815,-0.099664396,0.827104908,0.289074585,0.346677366,background
KANSL1L,2,3,2,0,1,2,0,0,3,0,0,3,0,intron,"translocation,translocation/3'-3'",0,0,0,"SRR6939943.arriba,SRR6939951.arriba",tumor_exclusive,-0.475877025,0.15879633,0.48967821,0.115315761,-0.639230679,0.094443595,0.66649592,0.046007356,translation
KIAA0825,2,3,2,0,3,0,0,0,3,0,0,3,0,intron,"deletion/read-through,deletion/read-through/3'-3',translocation",1,0,0,"SRR6939943.arriba,SRR6939951.arriba",tumor_exclusive,-1.703694311,0.026217645,-1.172284635,0.010362981,-0.651653381,0.422741232,-0.664733751,0.118791265,abundance
KIF22,2,3,2,0,3,0,0,0,3,0,0,3,0,"CDS,intron",deletion/read-through,1,0,6,"SRR6939935.arriba,SRR6939943.arriba",tumor_exclusive,0.890200355,0.016139169,0.164489831,0.599451845,0.816434468,0.028987875,-0.293256544,0.393199448,translation
KNSTRN,2,3,2,0,1,2,0,0,3,0,0,3,1,"intergenic,intron","deletion/read-through,translocation,translocation/3'-3'",0,0,0,"SRR6939943.arriba,SRR6939960.arriba",tumor_exclusive,0.239458405,0.500682233,0.709236801,0.196476827,0.02345389,0.953332705,0.352062497,0.429246762,background
LURAP1L,2,3,2,0,2,1,0,0,3,0,0,3,2,"intergenic,intron",deletion/read-through,0,0,5,"SRR6939935.arriba,SRR6939951.arriba",tumor_exclusive,-1.654531876,0.012011797,-1.31136542,0.004775226,-0.290292899,0.600826973,-0.497975666,0.156860045,abundance
MFN1,2,3,2,0,3,0,0,0,3,0,0,3,0,"CDS/splice-site,intron","deletion/read-through,deletion/read-through/5'-5'",0,0,3,"SRR6939939.arriba,SRR6939964.arriba",tumor_exclusive,0.295608047,0.545341395,0.734347918,0.020091506,-0.619666704,0.191443396,0.622692796,0.024058563,buffering
MOCS1,2,3,2,0,3,0,0,0,3,0,0,3,0,"CDS,intron","deletion/read-through,deletion/read-through/3'-3'",0,0,0,"SRR6939927.arriba,SRR6939947.arriba",tumor_exclusive,-0.630212963,0.196298527,-0.583803297,0.023141173,0.788376315,0.08558517,-0.432043412,0.051608013,abundance
NADK2,2,3,2,0,1,2,0,0,3,0,0,3,1,"intergenic,intron","deletion/read-through,translocation",0,0,0,"SRR6939927.arriba,SRR6939943.arriba",tumor_exclusive,-0.655770015,0.234219623,0.039385649,0.940151359,-0.692692663,0.043968926,0.631141579,0.031835611,translation
NAPRT,2,3,2,0,2,1,0,0,3,0,0,3,0,CDS,deletion/read-through,1,0,6,"SRR6939927.arriba,SRR6939935.arriba",tumor_exclusive,-0.148325655,0.636102297,-0.800429408,0.075479658,0.073732841,0.816189567,-0.578117362,0.117864184,background
PGM2L1,2,3,2,0,1,2,0,0,3,0,0,3,0,intron,"deletion/read-through,deletion/read-through/3'-3'",0,0,2,"SRR6939943.arriba,SRR6939951.arriba",tumor_exclusive,-0.249402493,0.734478042,0.385137693,0.257126448,-0.18874438,0.837862679,0.376260923,0.271407112,background
PIGK,2,3,2,0,1,2,0,0,3,0,0,3,0,intron,"deletion/read-through/5'-5',translocation",0,0,20,"SRR6939943.arriba,SRR6939956.arriba",tumor_exclusive,-0.344771545,0.234219623,1.091889194,0.018360246,-0.394697659,0.222839775,1.179741209,0.020323601,translation
PPAT,2,3,2,0,1,2,0,0,3,0,0,3,0,intron,"deletion/read-through,deletion/read-through/3'-3',deletion/read-through/5'-5'",1,0,0,"SRR6939943.arriba,SRR6939956.arriba",tumor_exclusive,1.104773667,0.01497726,1.809127612,3.78484e-4,1.026700003,0.114971156,1.767493902,0.003473016,abundance
PRKACB,2,3,2,0,2,1,0,0,3,0,0,3,0,intron,"deletion/read-through/3'-3',inversion,translocation",0,0,0,"SRR6939927.arriba,SRR6939956.arriba",tumor_exclusive,-0.588916842,0.122029639,0.323720282,0.337387446,-0.79299591,0.040052292,0.70399026,0.036410995,translation
PTCD2,2,3,2,0,2,1,0,0,3,0,0,3,0,intron,"deletion/read-through,translocation/3'-3'",1,0,0,"SRR6939927.arriba,SRR6939956.arriba",tumor_exclusive,0.341538232,0.395593176,0.469938303,0.164889951,0.104879745,0.825957276,0.32201892,0.31573397,background
PXMP2,2,3,2,0,3,0,0,0,3,0,0,3,0,"CDS,CDS/splice-site",deletion/read-through/5'-5',1,0,35,"SRR6939927.arriba,SRR6939964.arriba",tumor_exclusive,-1.174678896,0.026295477,-0.8924052,0.050734428,-0.466305161,0.222839775,0.065085782,0.86579986,translation
RNF114,2,3,2,0,3,0,0,0,3,0,0,3,0,"3'UTR,intron","deletion/read-through,deletion/read-through/5'-5'",0,0,2,"SRR6939927.arriba,SRR6939939.arriba",tumor_exclusive,-0.190745753,0.523597449,-0.164197934,0.565946112,-0.127213504,0.669618835,-0.055623026,0.849346565,background
RPF1,2,3,2,0,3,0,0,0,3,0,0,3,0,intron,"deletion/read-through/5'-5',translocation,translocation/5'-5'",0,0,0,"SRR6939951.arriba,SRR6939956.arriba",tumor_exclusive,-0.244168869,0.373486427,0.391019009,0.135148314,-0.352519165,0.19377948,0.497929532,0.063186239,buffering
RPS17,2,3,2,0,2,1,0,0,3,0,0,3,0,CDS,"deletion/read-through,deletion/read-through/5'-5',translocation",1,0,272,"SRR6939927.arriba,SRR6939964.arriba",tumor_exclusive,0.940964479,0.028850662,1.538652129,0.00684157,0.456660622,0.316993936,0.865792454,0.109609432,abundance
SAMD9L,2,3,2,0,1,2,0,0,3,0,0,3,1,"intergenic,intron",deletion/read-through,0,0,0,"SRR6939935.arriba,SRR6939956.arriba",tumor_exclusive,-0.81292505,0.123899018,-0.174499214,0.71347343,-0.651545614,0.064107326,0.509625756,0.086230104,translation
SLCO1B1,2,3,2,0,0,3,0,0,3,0,0,3,0,intron,"deletion/read-through,translocation/3'-3'",0,0,0,"SRR6939943.arriba,SRR6939951.arriba",tumor_exclusive,-2.102338774,0.017611218,-0.647973784,0.360871153,-1.484451911,0.0085999720000000009,1.342914789,0.0035307340000000002,translation
SNRPN,2,3,2,0,1,2,0,0,3,0,0,3,0,intron,deletion/read-through,0,0,1,"SRR6939947.arriba,SRR6939960.arriba",tumor_exclusive,0.119475396,0.916346428,0.388589204,0.605001209,-0.305070485,0.590720721,0.302596405,0.431838929,background
STAT6,2,3,2,0,3,0,0,0,3,0,0,3,0,"exon,intron",deletion/read-through,1,0,1,"SRR6939947.arriba,SRR6939960.arriba",tumor_exclusive,-0.079514454,0.866087128,-0.447553909,0.196431525,0.342153339,0.263047195,-0.387044464,0.119857441,background
STX7,2,3,2,0,3,0,0,0,3,0,0,3,0,"3'UTR,intron","deletion/read-through,translocation/3'-3'",0,0,2,"SRR6939927.arriba,SRR6939947.arriba",tumor_exclusive,0.316864161,0.429880097,0.537916554,0.066822897,0.485034791,0.289573088,0.585938705,0.049773067,background
SURF2,2,3,2,0,1,2,0,0,3,0,0,3,0,intron,"deletion/read-through,deletion/read-through/3'-3'",0,0,0,"SRR6939931.arriba,SRR6939960.arriba",tumor_exclusive,0.579355444,0.27541592,-0.137342074,0.738924934,0.648690136,0.224535203,-0.312813306,0.410478805,translation
TDG,2,3,2,0,3,0,0,0,3,0,0,3,0,intron,"deletion,deletion/read-through",0,0,2,"SRR6939943.arriba,SRR6939947.arriba",tumor_exclusive,0.293584633,0.543075598,0.939114246,0.032158552,0.396428008,0.526440141,0.96998182,0.034369106,buffering
TPI1,2,3,2,0,0,3,0,0,3,0,0,3,0,"5'UTR,CDS",deletion/read-through,0,0,58,"SRR6939943.arriba,SRR6939956.arriba",tumor_exclusive,0.559770594,0.109537196,0.268735541,0.359203442,0.376039733,0.233949839,-0.054166237,0.85887988,translation
TRAPPC4,2,3,2,0,1,2,0,0,3,0,0,3,0,exon,"deletion/read-through,deletion/read-through/5'-5'",0,0,0,"SRR6939935.arriba,SRR6939943.arriba",tumor_exclusive,0.247477762,0.424851475,0.163127436,0.64530941,0.166220251,0.53753383,-0.1201918,0.669291852,background
TST,2,3,2,0,2,1,0,0,3,0,0,3,0,"CDS,intron",deletion/read-through,0,0,19,"SRR6939931.arriba,SRR6939939.arriba",tumor_exclusive,-0.607352279,0.108675026,-0.468143368,0.160930246,-0.20458974,0.468377496,0.058468324,0.828782008,abundance
TXNDC16,2,3,2,0,1,2,0,0,3,0,0,3,0,intron,"translocation,translocation/3'-3'",0,0,0,"SRR6939931.arriba,SRR6939956.arriba",tumor_exclusive,-0.295076049,0.461506011,1.012006413,0.018075677,-1.07970084,0.011012439,1.319681416,0.002088803,translation
UBE2G2,2,3,2,0,0,3,0,0,3,0,0,3,0,intron,"deletion/read-through,translocation",0,0,0,"SRR6939927.arriba,SRR6939951.arriba",tumor_exclusive,0.387931366,0.39409757,-0.240082409,0.333859859,0.735429197,0.098369885,-0.337188636,0.141010491,translation
VPS37A,2,3,2,0,0,3,0,0,3,0,0,3,0,"CDS,intron","deletion/read-through,translocation/3'-3'",1,0,0,"SRR6939927.arriba,SRR6939943.arriba",tumor_exclusive,-0.165914604,0.647568069,0.259617335,0.47892878,-0.29838598,0.327282135,0.404014963,0.183215406,background
WFS1,2,3,2,0,0,3,0,0,3,0,0,3,0,intron,deletion/read-through/3'-3',1,0,0,"SRR6939939.arriba,SRR6939956.arriba",tumor_exclusive,0.813478416,0.043058137,0.332502877,0.372401473,0.603845783,0.075727746,-0.344945736,0.272413406,translation
ZDHHC17,2,3,2,0,1,2,0,0,3,0,0,3,0,"exon,intron","deletion/read-through,deletion/read-through/3'-3'",1,0,2,"SRR6939935.arriba,SRR6939939.arriba",tumor_exclusive,-0.576347971,0.088826331,0.345951782,0.263766902,-0.711245899,0.051051579,0.618964893,0.06028819,translation
ZFYVE21,2,3,2,0,1,2,0,0,3,0,0,3,0,"CDS,intron","deletion/read-through,deletion/read-through/5'-5'",0,0,0,"SRR6939931.arriba,SRR6939960.arriba",tumor_exclusive,-0.441552321,0.24942889,-0.601977187,0.075854168,-0.330027,0.491389477,-0.526561867,0.142502737,abundance
ZNF687,2,3,2,0,3,0,0,0,3,0,0,3,0,"5'UTR,CDS",deletion/read-through,1,0,0,"SRR6939935.arriba,SRR6939964.arriba",tumor_exclusive,0.911110372,0.02555232,0.357431802,0.12790202,0.273643414,0.373345708,0.051933734,0.827742963,abundance
ACADM,2,2,2,0,2,0,0,0,2,0,0,2,0,"exon,intron",deletion/read-through,1,0,0.5,"SRR6939947.arriba,SRR6939951.arriba",tumor_exclusive,-1.703895068,0.011881394,-0.4857613,0.276065448,-1.136834722,0.011003789,0.82017959,0.010638291,translation
ADAM15,2,2,2,0,1,1,0,0,2,0,0,2,0,"3'UTR,5'UTR","deletion,deletion/read-through",0,0,4,"SRR6939927.arriba,SRR6939960.arriba",tumor_exclusive,1.329634188,7.12364e-4,0.713212329,0.056509959,1.192049041,0.0085999720000000009,-0.344613284,0.453935961,translation
ALAD,2,2,2,0,1,1,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/5'-5'",0,0,0.5,"SRR6939927.arriba,SRR6939960.arriba",tumor_exclusive,-0.702480958,0.082067332,-0.594756104,0.148763858,-0.257663742,0.313151326,0.216785957,0.364583877,abundance
ANO6,2,2,2,0,0,2,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/3'-3'",0,0,0,"SRR6939939.arriba,SRR6939947.arriba",tumor_exclusive,0.146671391,0.597892591,0.731171882,0.028396109,-0.137565213,0.587494602,0.506668817,0.052897755,background
AP1G2,2,2,2,0,2,0,0,0,2,0,0,2,0,"CDS,CDS/splice-site","deletion/read-through,deletion/read-through/5'-5'",0,0,1,"SRR6939927.arriba,SRR6939931.arriba",tumor_exclusive,0.184610508,0.808153899,-0.481719354,0.38816901,0.675960246,0.096329251,-0.628555274,0.049399896,background
APMAP,2,2,2,0,0,2,0,0,2,0,0,2,0,intron,deletion/read-through,0,0,0,"SRR6939927.arriba,SRR6939931.arriba",tumor_exclusive,-0.400768408,0.438884527,-0.455423388,0.358490423,-0.02797371,0.943761741,-0.053298353,0.866822505,background
ARPC1B,2,2,2,0,2,0,0,0,2,0,0,2,0,"CDS,intron","deletion/read-through,translocation",0,0,3,"SRR6939943.arriba,SRR6939964.arriba",tumor_exclusive,0.767310305,0.028164112,0.374632549,0.212788815,0.505908444,0.079680657,-0.274410405,0.284576737,translation
ASPDH,2,2,2,0,2,0,0,0,2,0,0,2,1,"CDS/splice-site,intergenic","deletion/read-through,deletion/read-through/5'-5'",0,0,1.5,"SRR6939927.arriba,SRR6939956.arriba",tumor_exclusive,-1.96934473,0.015397099,-2.661000507,0.001688356,0.440283019,0.401671152,-0.875601738,0.038395869,abundance
ATG2B,2,2,2,0,1,1,0,0,2,0,0,2,0,"exon/splice-site,intron",deletion/read-through/3'-3',0,0,0,"SRR6939939.arriba,SRR6939951.arriba",tumor_exclusive,-0.526133397,0.196675985,0.053236982,0.867870867,-0.554017174,0.179945428,0.180222226,0.525833515,translation
BTF3,2,2,2,0,0,2,0,0,2,0,0,2,0,exon,deletion/read-through,0,0,0,"SRR6939939.arriba,SRR6939951.arriba",tumor_exclusive,0.477512384,0.205903639,0.733602371,0.066905233,0.239579127,0.562325261,0.494454448,0.208649158,abundance
BUB3,2,2,2,0,2,0,0,0,2,0,0,2,0,"3'UTR,intron",deletion/read-through,0,0,0.5,"SRR6939943.arriba,SRR6939951.arriba",tumor_exclusive,0.320176587,0.321722499,1.171659769,0.002929827,-0.344044425,0.340263089,0.917000753,0.007616649,background
C1orf115,2,2,2,0,1,1,0,0,2,0,0,2,1,"intergenic,intron",deletion/read-through,0,0,1,"SRR6939943.arriba,SRR6939964.arriba",tumor_exclusive,0.265153019,0.601201962,-0.080063981,0.844155477,0.318426976,0.495460556,-0.192742864,0.570326672,background
C2CD5,2,2,2,0,0,2,0,0,2,0,0,2,0,intron,deletion/read-through,0,0,0,"SRR6939939.arriba,SRR6939943.arriba",tumor_exclusive,-0.234899755,0.556078347,0.444952095,0.212102195,-0.550818646,0.098706595,0.632780213,0.036307563,background
CACYBP,2,2,2,0,1,1,0,0,2,0,0,2,0,"CDS,intron",deletion/read-through,0,0,0,"SRR6939931.arriba,SRR6939951.arriba",tumor_exclusive,0.759028212,0.046969914,0.832587463,0.020836267,0.248961148,0.485278328,0.33866016,0.253740968,abundance
CCT4,2,2,2,0,1,1,0,0,2,0,0,2,0,intron,"deletion/read-through,translocation",0,0,72.5,"SRR6939927.arriba,SRR6939960.arriba",tumor_exclusive,0.493622787,0.066086078,1.270869516,9.63222e-4,0.451938674,0.14040024,1.215626721,0.004021008,abundance
CDC34,2,2,2,0,0,2,0,0,2,0,0,2,0,5'UTR,deletion/read-through/3'-3',0,0,1,"SRR6939931.arriba,SRR6939939.arriba",tumor_exclusive,-0.195239842,0.656279714,-0.629487265,0.080837001,-0.071294738,0.8997329,-0.595560897,0.100415386,buffering
CEBPG,2,2,2,0,1,1,0,0,2,0,0,2,2,intergenic,deletion/read-through,0,0,0,"SRR6939943.arriba,SRR6939951.arriba",tumor_exclusive,0.16119091,0.656279714,1.017095455,0.001661185,-0.814866465,0.055237099,0.957920447,0.003093764,buffering
CEP295,2,2,2,0,1,1,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/5'-5'",1,0,0,"SRR6939951.arriba,SRR6939964.arriba",tumor_exclusive,0.193208119,0.713215901,0.907714881,0.007502009,-0.067939858,0.945709011,0.891727827,0.009964162,buffering
CFL2,2,2,2,0,0,2,0,0,2,0,0,2,2,intergenic,deletion/read-through,1,0,0.5,"SRR6939951.arriba,SRR6939956.arriba",tumor_exclusive,-1.037026148,0.033965392,0.272277911,0.571705492,-1.186585833,0.016541844,1.083619151,0.022374444,translation
COPS5,2,2,2,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through,0,0,0,"SRR6939956.arriba,SRR6939960.arriba",tumor_exclusive,0.506722447,0.093880775,0.900997822,0.037802775,0.366411049,0.257169914,0.538638301,0.205042931,abundance
CSDE1,2,2,2,0,2,0,0,0,2,0,0,2,0,"5'UTR,exon","deletion/read-through,deletion/read-through/3'-3'",1,0,9.5,"SRR6939943.arriba,SRR6939960.arriba",tumor_exclusive,-0.453353157,0.152334158,0.69522669,0.015438697,-0.785920266,0.05686516,0.84335523,0.007885232,translation
CTU1,2,2,2,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through/3'-3',1,0,1,"SRR6939947.arriba,SRR6939956.arriba",tumor_exclusive,0.806488899,0.243771779,-0.481114506,0.152979737,1.079441577,0.1786799,-0.576992256,0.099087904,translation
CYC1,2,2,2,0,2,0,0,0,2,0,0,2,0,CDS,deletion/read-through/5'-5',1,0,4.5,"SRR6939927.arriba,SRR6939960.arriba",tumor_exclusive,0.435125823,0.243341026,0.476366368,0.239323856,0.159801761,0.616186828,0.020610573,0.956160538,abundance
DDB2,2,2,2,0,0,2,0,0,2,0,0,2,0,5'UTR,deletion/read-through,0,0,7,"SRR6939927.arriba,SRR6939951.arriba",tumor_exclusive,-0.843804785,0.025082162,-1.03994132,0.014530002,-0.569092021,0.168270415,-0.602906256,0.156699043,abundance
DDT,2,2,2,0,1,1,0,0,2,0,0,2,0,"CDS,intron","deletion/read-through/3'-3',deletion/read-through/5'-5'",1,0,87,"SRR6939927.arriba,SRR6939947.arriba",tumor_exclusive,-0.704625468,0.136049812,-0.23547989,0.617847297,-0.509437945,0.082095602,0.488895015,0.069967729,translation
DDX20,2,2,2,0,1,1,0,0,2,0,0,2,0,3'UTR,"deletion/read-through/3'-3',deletion/read-through/5'-5'",1,0,0.5,"SRR6939939.arriba,SRR6939951.arriba",tumor_exclusive,0.307649924,0.464458778,0.815715931,0.007106811,0.205603349,0.760659043,0.805235043,0.009526983,buffering
DEFB1,2,2,2,0,2,0,0,0,2,0,0,2,0,intron,"deletion/read-through,translocation/3'-3'",0,0,0,"SRR6939927.arriba,SRR6939956.arriba",tumor_exclusive,-1.02396332,0.494066639,-0.717485287,0.540196926,-0.28293384,0.728756036,0.087661978,0.889840779,background
DERL2,2,2,2,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through,0,0,1.5,"SRR6939939.arriba,SRR6939960.arriba",tumor_exclusive,0.114143108,0.766772782,0.786140606,0.025102894,-0.245272033,0.528786589,0.728794019,0.027479348,background
DNTTIP1,2,2,2,0,1,1,0,0,2,0,0,2,0,intron,deletion/read-through,1,0,4.5,"SRR6939943.arriba,SRR6939964.arriba",tumor_exclusive,0.254222385,0.405732393,0.01610338,0.964022859,0.249890817,0.389871116,-0.1487533,0.675590083,background
EIF2B4,2,2,2,0,2,0,0,0,2,0,0,2,0,"CDS/splice-site,UTR","deletion/read-through,deletion/read-through/5'-5'",0,0,0,"SRR6939927.arriba,SRR6939935.arriba",tumor_exclusive,0.338497324,0.287626677,0.202592281,0.408811144,0.400153918,0.216445713,0.252012276,0.295536874,background
F10,2,2,2,0,1,1,0,0,2,0,0,2,0,intron,deletion/read-through,1,0,0,"SRR6939939.arriba,SRR6939956.arriba",tumor_exclusive,-0.159390442,0.832189552,0.085858143,0.871818084,-0.256830776,0.540989966,0.192821948,0.51243671,background
FASTK,2,2,2,0,2,0,0,0,2,0,0,2,0,"CDS,exon","deletion/read-through,translocation",0,0,5,"SRR6939943.arriba,SRR6939960.arriba",tumor_exclusive,0.715590411,0.213080897,-0.056544661,0.859207905,0.768636487,0.187258276,-0.179031941,0.5316782,translation
FIBP,2,2,2,0,2,0,0,0,2,0,0,2,2,intergenic,"deletion/read-through,translocation",0,0,6.5,"SRR6939927.arriba,SRR6939943.arriba",tumor_exclusive,1.250247438,0.024071601,0.707442264,0.060779645,0.612266581,0.203592658,0.071345698,0.86149954,translation
