gene_symbol,translatedmRNA.apvEff,translatedmRNA.apvRvmPAdj,totalmRNA.apvEff,totalmRNA.apvRvmPAdj,translation.apvEff,translation.apvRvmPAdj,buffering.apvEff,buffering.apvRvmPAdj,singleRegMode
MYO18A,-0.120963919,0.730322945,-0.758934994,0.032387278,0.250445883,0.424686422,-0.662264895,0.033773234,background
MAN2A2,0.507458437,0.228916065,-0.312612978,0.387856438,0.718368546,0.073464582,-0.618404733,0.059820314,translation
SULF2,-1.280180972,0.026932605,-1.850725988,0.001555236,0.460739985,0.306143246,-0.852582265,0.017490696,abundance
LAMA2,-1.683447184,0.086602406,-2.256450744,0.028851935,-0.096808727,0.925136792,-0.768300229,0.279136629,abundance
PLXNB2,-0.271018492,0.468715775,-0.804937335,0.079763735,0.084029966,0.827104908,-0.505931387,0.159997292,background
MYO6,-0.705352587,0.196143908,0.214984688,0.587436653,-0.962772163,0.019401429,0.67408734,0.019504167,translation
MKL1,0.138859325,0.757486666,-0.489564213,0.241786645,0.44136525,0.208872035,-0.60926952,0.070509879,background
HDAC2,0.234531306,0.447716764,0.810257446,0.009049361,0.051257768,0.90854097,0.75755722,0.013823332,buffering
ADH1B,-2.993168774,0.005512237,-2.074802535,0.027156681,-1.103743685,0.012544,1.063290466,0.009501263,translation
UGT2B15,-2.644722109,0.004156564,-1.889986982,0.032769688,-1.266472407,0.023225279,1.043758632,0.061804334,translation
TCF4,-0.333803461,0.572620305,-0.287650131,0.494237343,-0.0442713,0.934592802,-0.087569326,0.794736811,background
WNK3,-1.701588796,0.08523423,-0.95034996,0.182723249,-0.657624303,0.224535203,0.27821757,0.49683884,translation
SDHAF3,0.756878264,0.188539835,0.99273043,0.047376004,1.164522468,0.090016012,1.255937537,0.021774434,abundance
ZNF136,-0.311950892,0.65215,0.103568308,0.867920842,-0.380167669,0.517757405,0.290599302,0.539896897,background
ZKSCAN5,0.263613345,0.51947277,0.822496056,0.005315544,0.062197111,0.928198383,0.807462176,0.007485026,buffering
TRAPPC4,0.247477762,0.424851475,0.163127436,0.64530941,0.166220251,0.53753383,-0.1201918,0.669291852,background
SLC30A10,-0.492914587,0.62026357,-0.082318465,0.879308998,-0.352738883,0.414701188,0.169032165,0.512464677,background
TECPR2,-0.467791758,0.240318084,-0.48306346,0.138586106,-0.224707873,0.601466643,-0.303705505,0.335236861,abundance
ERI2,-0.149661269,0.740755232,0.718762659,0.115683686,-0.518036717,0.188998365,0.845963732,0.035391674,background
TOMM7,0.499652605,0.276158151,0.514098223,0.115289315,0.134545462,0.801316357,0.336449335,0.270778094,background
ZNF512B,0.444044114,0.452666612,-1.005810539,0.023379186,0.384073998,0.621253498,-0.991318482,0.032012668,buffering
AMZ2,0.788551892,0.125198931,0.723457724,0.024416572,0.086299361,0.895041389,0.507767474,0.087973836,abundance
NF1,0.064768418,0.82683284,0.523585195,0.078890367,-0.093866871,0.747856606,0.4619451,0.090131371,background
VKORC1L1,0.118797138,0.787212602,0.623130805,0.038058387,-0.323469046,0.485278328,0.584357817,0.039913571,buffering
DAPK1,-0.621645508,0.146641709,-0.735503713,0.050657763,0.139551561,0.585928943,-0.175585398,0.403790652,abundance
HLA-DQA1,-0.710134725,0.194442156,-0.556828067,0.269114542,-0.23544983,0.498401126,0.100492779,0.761102726,background
GM2A,0.881432888,0.01497726,0.778384321,0.007553715,0.62079712,0.109799856,0.623922984,0.033288917,abundance
ZNF700,-0.626623676,0.193221152,-0.601174221,0.206381182,-0.512928424,0.336310042,-0.447557387,0.36366171,abundance
CD47,-0.567143403,0.208058629,-0.064838045,0.876468614,-0.512811985,0.145856079,0.33985748,0.244774264,translation
TLE1,0.382609112,0.229630958,-0.129108256,0.7023471,0.445666001,0.129759655,-0.425393617,0.136509675,translation
MAML3,-0.289308783,0.589905823,-1.006494228,0.034579367,0.467002,0.300107499,-0.803104164,0.032852868,background
STRN3,-0.131690101,0.699199062,-0.095368294,0.738743154,-0.097553318,0.786003708,-0.056604731,0.84588199,background
C6orf106,0.066195938,0.898244433,0.056147372,0.879308998,0.025180448,0.962056338,0.026796129,0.940536148,background
PPTC7,-0.479289389,0.257218283,0.3216999,0.27199509,-0.740179595,0.087329509,0.496297133,0.080373667,translation
NHLRC2,-0.288801109,0.400786331,0.121557193,0.703185758,-0.303362664,0.387063689,0.156218077,0.617493439,background
LAMB3,-0.498938956,0.691555893,-0.251503548,0.751817016,-0.188870751,0.814879465,0.046539002,0.92836242,background
KPNA5,-0.467193305,0.376119802,0.648645119,0.144948864,-1.015171797,0.032141409,0.990644873,0.010409469,translation
ARHGEF12,-0.794524441,0.024501944,-0.170725778,0.576289177,-0.705038762,0.039320858,0.309428178,0.310110141,translation
PDLIM7,1.419362167,0.075076947,-0.000279836,0.999573872,1.419586292,0.027582558,-1.119384194,0.041634731,translation
FLgeneSymbol,-0.109320732,0.897421398,-0.515848812,0.396651954,0.438446797,0.152660319,-0.420222028,0.097312641,background
SRGAP1,-0.89381846,0.244801493,-0.401156042,0.544603179,-0.573801304,0.328195183,0.223507425,0.663401708,background
NOP9,0.425841444,0.119989285,0.087579517,0.767950418,0.407291154,0.128181372,-0.118211353,0.696129568,translation
SLC39A10,0.820373484,0.129171942,1.328863508,0.010344498,-0.176288779,0.767140524,0.795422938,0.04510866,abundance
CASP4,-0.769668071,0.178996141,-0.551239681,0.179933537,-0.077856008,0.812430636,0.006512009,0.982122928,abundance
AP2A1,0.044632514,0.903442725,-0.18514637,0.475042735,0.144881156,0.665353523,-0.200464516,0.402149766,background
FUT11,-0.0374153,0.960532049,-0.339250303,0.410543995,0.375241737,0.407834282,-0.318852432,0.263904464,background
ANXA4,-0.461246861,0.377850943,0.105738098,0.826253084,-0.571748743,0.036237741,0.530141288,0.022704211,translation
WDR5B,0.320480528,0.661027644,0.909011567,0.032147116,-0.451857605,0.577019473,0.815758866,0.038424893,buffering
WDR45,-0.140650442,0.751246753,-0.107053004,0.79880049,-0.076063433,0.85539414,-0.005182766,0.988764512,background
ZNF100,-0.147403709,0.83977832,0.100020955,0.886244443,-0.139895242,0.870935197,0.086800748,0.910870046,background
ZNF398,0.6143871,0.158780109,0.344991888,0.304661351,0.453296842,0.308160103,0.153153003,0.664958128,background
ZSCAN25,0.263810973,0.527054425,0.311754752,0.283775803,0.097451721,0.843753366,0.241719972,0.387473724,background
ANXA6,-0.738777778,0.061410665,-0.543294702,0.086541253,-0.205622911,0.481267732,0.011526663,0.96950073,abundance
ZNF441,-0.508344282,0.264281567,0.789271747,0.07492765,-0.566918534,0.282080146,0.83421917,0.080721089,buffering
GMFB,0.89460133,0.023795086,1.70511309,0.002778183,0.608560693,0.219893097,1.309688324,0.031768829,abundance
ZMYM1,0.083798737,0.878681226,0.932559129,0.026819831,0.053969259,0.941492242,0.930478247,0.031408202,buffering
HIST1H4C,0.276709258,0.592479732,1.182571091,0.034994407,-0.590491894,0.082688669,0.87139597,0.010918865,background
ARRDC1,0.291385412,0.352329047,-0.676147874,0.035546577,0.670290413,0.041835228,-0.910187995,0.006515124,translation
KIAA1671,-0.415968382,0.499517932,-0.798287575,0.043075382,0.498105465,0.325297533,-0.603024147,0.054090641,buffering
IGF2R,0.185925888,0.511626862,0.116256288,0.695971875,0.142775451,0.594434281,-0.031442438,0.91889646,background
DYNC1H1,-0.095557162,0.807619513,0.154033407,0.588183667,-0.272811371,0.289738822,0.218615055,0.297138256,background
PCBP2,0.061555334,0.841861218,0.299500663,0.386079982,-0.001849495,0.995009312,0.247495343,0.445927953,background
SLC25A29,0.327707525,0.55847946,-1.174544557,0.016110668,1.153193523,0.055237099,-1.355326845,0.005442005,translation
PGAP1,0.531291483,0.410603463,0.356153324,0.533641992,0.283975001,0.614604045,0.003044762,0.99526105,background
PCNXL3,1.137305524,0.019493155,-0.027119063,0.927087425,1.137327791,0.03505687,-0.027389303,0.937919245,translation
ACSL5,-1.554308383,0.022454219,-0.571600052,0.280323975,-0.974696995,0.011715295,0.854670265,0.007612156,translation
ABCB8,0.250212062,0.616491777,0.219459567,0.589035459,0.090837158,0.852140333,0.071853251,0.84588199,background
SND1,0.247649295,0.409853576,0.587576827,0.036688432,0.007180877,0.985682324,0.479067981,0.072560907,buffering
PSMD12,-0.116671323,0.776245964,0.152322282,0.681713874,-0.182021754,0.63774868,0.211976244,0.521109113,background
ENTPD4,-0.637855659,0.211440456,-0.188983686,0.500509159,-0.663124757,0.229103014,-0.206837719,0.467630631,translation
TBC1D9B,-0.10479983,0.82333117,-0.583331323,0.062058869,-0.242002292,0.646822657,-0.595615674,0.057888646,buffering
SERPINA1,-1.691355446,0.016517425,-1.207508735,0.053524417,-0.693420658,0.093473629,0.420520311,0.298966099,translation
